,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
0,3lJqL7my6Z4yiYGpHBecew,Airplane pt.2 - Japanese ver.,56C1UvPHIRtuLKV3qLtEJ6,https://p.scdn.co/mp3-preview/4a5751c790fe401ba6ece70df049f4a039752cff?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-11-07,"['k-pop', 'k-pop boy group', 'pop']",0.77,0.803,-4.189,0.0301,0.0539,0,0.0812,0.903,140.02,0,0,220920,37.0
1,3lJqL7my6Z4yiYGpHBecew,Anpanman,01gUlvzAPiwB9Ekq9kGVCM,https://p.scdn.co/mp3-preview/2bb33fa21dc85b52395552787016640db736c03e?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-08-24,"['k-pop', 'k-pop boy group', 'pop']",0.813,0.875,-2.92,0.0918,0.0237,0,0.288,0.756,99.004,1,0,232966,0.0
2,3lJqL7my6Z4yiYGpHBecew,Blood Sweat & Tears,5RGf8qn1TBWVplLyyKUsuV,https://p.scdn.co/mp3-preview/585efc683a5dec9b84540a1322f06a31a0b4777d?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2016-10-10,"['k-pop', 'k-pop boy group', 'pop']",0.583,0.885,-3.571,0.106,0.0244,0,0.357,0.601,92.959,0,0,217052,0.0
3,3lJqL7my6Z4yiYGpHBecew,DNA,6Z7m5DLNPOaPg9T6nXK0rQ,https://p.scdn.co/mp3-preview/5031e0d1f4e1dedd05ade1b24a3beec07d7c75ce?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-08-24,"['k-pop', 'k-pop boy group', 'pop']",0.599,0.774,-4.014,0.0541,0.0223,0,0.0669,0.696,129.819,1,0,223123,0.0
4,3lJqL7my6Z4yiYGpHBecew,Euphoria,3p6hnejEQYXkiTO1lAzVc0,https://p.scdn.co/mp3-preview/af20f36301df394eeca1794397a853c2d38bd5f3?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-08-24,"['k-pop', 'k-pop boy group', 'pop']",0.637,0.799,-4.519,0.0338,0.394,0,0.0921,0.562,104.995,2,1,228615,1.0
5,3lJqL7my6Z4yiYGpHBecew,FAKE LOVE,5Sn2fm8aisVlR7S6u1KW57,https://p.scdn.co/mp3-preview/24ec465728ed83e2113589cd0fdab7f0de11bf7a?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-08-24,"['k-pop', 'k-pop boy group', 'pop']",0.557,0.719,-4.515,0.0372,0.00267,0,0.306,0.344,77.501,2,0,242334,0.0
6,3lJqL7my6Z4yiYGpHBecew,Go Go,5nq1uTNIR1cBR72T87viS0,https://p.scdn.co/mp3-preview/09974dfc0d4a4efe0c470700d7e9d6b310dbe80d?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-09-18,"['k-pop', 'k-pop boy group', 'pop']",0.856,0.617,-5.308,0.0841,0.171,0,0.0857,0.759,136.082,10,0,235780,0.0
7,3lJqL7my6Z4yiYGpHBecew,Her,3HhVmd5y8BI1s2R4z9rQKW,https://p.scdn.co/mp3-preview/305aea2c5e9021af458ca6938951554db8d22871?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-08-24,"['k-pop', 'k-pop boy group', 'pop']",0.481,0.927,-5.704,0.27,0.317,0,0.0583,0.448,88.931,3,1,228613,0.0
8,3lJqL7my6Z4yiYGpHBecew,HOME,7lthOBXNue2IvedLRfkod8,https://p.scdn.co/mp3-preview/106a971f065abda004ea8f58b5e9d55e6dbd1170?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-04-12,"['k-pop', 'k-pop boy group', 'pop']",0.633,0.799,-4.625,0.0429,0.0142,0,0.194,0.535,142.991,7,0,234178,0.0
9,3lJqL7my6Z4yiYGpHBecew,IDOL,2AIWoHr9DF6y4KALCBKWQS,https://p.scdn.co/mp3-preview/93b4dfb9190f85c0ee0cd927794f5d0b7911017d?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2018-08-24,"['k-pop', 'k-pop boy group', 'pop']",0.734,0.855,-3.211,0.118,0.00481,0,0.123,0.422,126.035,9,1,222732,0.0
