,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
0,6hOkDfpqzrARPgVRmUGbSs,Baby You Are,1j37dCqGQuvWNYg80RIiOu,https://p.scdn.co/mp3-preview/0e1b2da5683e7df98ec070dc268bdbaeae993536?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-11-27,"['k-pop', 'k-pop boy group']",0.768,0.778,-6.184,0.0728,0.118,0,0.202,0.784,107.935,11,0,178920,47.0
1,6hOkDfpqzrARPgVRmUGbSs,Betcha,1YhC9zXqhm1zsFpcf7vTPN,https://p.scdn.co/mp3-preview/3246a569dc982c6edf6b5daa47c3e667a78a58a9?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-07-10,['k-pop'],0.684,0.705,-3.507,0.0881,0.135,0,0.219,0.529,101.924,9,1,201475,55.0
2,6hOkDfpqzrARPgVRmUGbSs,Butterfly Effect,3ki9UrYL2TZxYAyyGIPMPz,https://p.scdn.co/mp3-preview/f9f8fa4e4ae97e47928ea7bdadfdcdb1c4a3d08f?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-11-27,"['k-pop', 'k-pop boy group']",0.684,0.842,-4.637,0.0778,0.232,0,0.0721,0.669,104.003,4,0,190360,47.0
3,6hOkDfpqzrARPgVRmUGbSs,CALL ME BABY,6Rx0ORYPP3GH9rTvGS5Vy8,https://p.scdn.co/mp3-preview/f152d5bc66c77346a816b1b50c8862dd9b00ae99?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-03-30,"['k-pop', 'k-pop boy group']",0.692,0.886,-2.519,0.0519,0.284,0,0.341,0.879,100.03,1,1,211013,68.0
4,6hOkDfpqzrARPgVRmUGbSs,Day After Day,7x2PMStZn3xJqeLXHODckx,https://p.scdn.co/mp3-preview/e24fe67ea6ba17635592867f2306373f1cb88052?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-11-27,"['k-pop', 'k-pop boy group']",0.397,0.675,-4.925,0.112,0.277,0,0.0874,0.452,102.941,1,0,222333,42.0
5,6hOkDfpqzrARPgVRmUGbSs,Diamond,1fDfhkAIfscEoGKBDRMvr1,https://p.scdn.co/mp3-preview/d8d6cf16fdb4c0ccd43a5de1dc7eec28507933a8?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-07-10,['k-pop'],0.606,0.797,-1.401,0.0385,0.0897,0,0.141,0.429,135.971,5,0,237658,47.0
6,6hOkDfpqzrARPgVRmUGbSs,EXODUS,36eT1ELsn8BqIxkuzTCgDF,https://p.scdn.co/mp3-preview/2a1f644d8859272ff1ac974d6e7ce33c309db9be?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2015-03-30,"['k-pop', 'k-pop boy group']",0.695,0.82,-4.538,0.0678,0.0408,0,0.146,0.824,99.994,5,0,199980,46.0
7,6hOkDfpqzrARPgVRmUGbSs,Groove,4Xi0jBySALbHLMh9MnSvAb,https://p.scdn.co/mp3-preview/d49bfe6717775bad31d6c11ddf635dce835a7182?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-11-27,"['k-pop', 'k-pop boy group']",0.628,0.801,-4.744,0.0416,0.287,1.22e-06,0.0903,0.44,98.022,0,1,208613,48.0
8,6hOkDfpqzrARPgVRmUGbSs,Jekyll,028XrbNPgtmnSSScHuWuG1,https://p.scdn.co/mp3-preview/6da76d78e5d1ce690cc96476c3ce40986d29c0a3?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2019-11-27,"['k-pop', 'k-pop boy group']",0.721,0.57,-3.759,0.0567,0.438,0,0.0975,0.472,99.988,11,0,221267,48.0
9,6hOkDfpqzrARPgVRmUGbSs,Ko Ko Bop,5EzitieoPnjyKHAq0gfRMa,https://p.scdn.co/mp3-preview/3ad458ef157a2fcdd6c5fffc0084ecbbcb4aa482?cid=7dd86e387e2e426aa1ef00886bd1a9ef,2017-07-18,"['k-pop', 'k-pop boy group']",0.749,0.85,-4.346,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,0,1,190423,66.0
